time_sec,delta_alpha,gamma43_power,alpha_power,beta_power,theta_power,mse_time
194.5,4.532945963287556,1.8126367869341684e-05,0.00041646838149144653,0.00012239252142080313,0.0007200397392682488,0.1181553689700204
198.5,2.069778587167577,1.4358334651951894e-05,0.00032036012644296233,0.00016481441724506258,0.0004642303276157994,0.12467081841417649
202.5,2.8483167059407846,1.4583970010837621e-05,0.0003545482517843051,0.00012114791763378905,0.001308016125597874,0.130603477530746
206.5,4.001245373625139,1.8742752837490794e-05,0.0003338847552819096,0.00011225887483465434,0.0006325540590688302,0.11704784757650585
210.5,3.6480178621732766,1.6339735187249895e-05,0.0003958161684644329,0.00010748945003707072,0.0007962506056783252,0.11397331060827968
214.5,4.313771169445625,3.188332719498089e-05,0.000976646610669285,0.00017773970111465827,0.0011041369665053227,0.13171617472056352
218.5,4.815736711257072,2.6840907156067926e-05,0.00023627437688738013,0.00012280699978653973,0.0007268341241587802,0.12293828429422093
222.5,3.1343354977516515,1.86555102093691e-05,0.0005761886128386741,0.00013545396073723082,0.0011002540506254027,0.13601312592614373
226.5,3.5715622685973334,2.7506927676198643e-05,0.0004335321230355285,0.00015741504703191886,0.0008064863077008313,0.13046290149341216
230.5,2.685208183243134,2.1283807993722825e-05,0.00036392641231091977,0.00011961899138677993,0.0008225448661608061,0.11931001628689078
234.5,2.573846198319497,2.005935326190932e-05,0.00034788712996192985,0.00014125490979525777,0.0008846645300177669,0.13339668966450297
238.5,5.41021452597171,1.572002710571205e-05,0.0004433086994718945,0.00012796460675482121,0.001013594576128327,0.12927617243448217
242.5,2.7353659109341355,2.1890257122919732e-05,0.0006813288548653222,0.00017496987565373957,0.0006886976369481308,0.12873000085759673
246.5,2.956995284004633,1.8084012527268202e-05,0.0005407455939183384,0.00018220689789898888,0.0007847551753689165,0.1314173077055322
250.5,3.4834997205778535,2.410350086704442e-05,0.00034669510819161295,9.83652203716457e-05,0.000600426813113477,0.117449153041659
254.5,2.9654418113248657,3.742345846454271e-05,0.0007429900849384249,0.0001349322842951146,0.0006923861124880649,0.11870138934651542
258.5,2.5669105114693664,2.3016162301369536e-05,0.00041432177174201485,7.830273913803506e-05,0.0006069875503054944,0.10367600571514435
262.5,3.1473214851916484,1.992757953163259e-05,0.0004013778167597388,0.00025819893825854774,0.0008891147849596,0.13080644339538203
266.5,5.373453658787342,2.195053244461228e-05,0.0002765327592044745,0.00012280543489817327,0.0002918602872355649,0.11938534730302038
270.5,2.220207032913742,1.8529002153596805e-05,0.0005385012582193743,0.00024212942509587872,0.0013088178582437735,0.12803964656223923
274.5,5.8880705608567245,2.599100633366201e-05,0.0003131516269343617,5.5030338765492234e-05,0.00033894134717094666,0.10335080037835379
278.5,1.4877272567744875,3.3822205157209325e-05,0.00036366390802211054,0.00011453357840095015,0.0006755495927182174,0.12853794489037995
282.5,5.457440903763723,2.169918418117919e-05,0.0004805704069587151,0.00012727383911446247,0.0021640618970564375,0.12972589949679345
286.5,3.108611000178827,2.339198432091149e-05,0.0002615654426386347,0.0002693043113761656,0.0010069819622022123,0.1376088546666045
290.5,7.6725664446651285,1.842984020579399e-05,0.00033976379123242456,7.394302816757589e-05,0.0003495450738072352,0.12571071828300712
294.5,1.862576935480294,1.9002272709350804e-05,0.00046660030041513885,0.0001408710623797276,0.00038406698205473367,0.12745975447111912
298.5,6.007269903899793,4.07621256305461e-05,0.0003579378840260148,8.667329873699532e-05,0.0005455790202858617,0.13462270747216465
302.5,3.728760537227907,1.7439902583174277e-05,0.00029659195128718365,9.916442233661429e-05,0.000826900701458495,0.1368300845599611
306.5,1.2968952975687245,2.3408366383942906e-05,0.0003648313803786986,8.230614131085713e-05,0.0006369360583025696,0.10875599203558503
310.5,3.0404081492414847,1.3628326365526617e-05,0.00026784836043522176,9.730441531034669e-05,0.0006203455690711453,0.10821261859410154
314.5,2.9316297222054164,1.2378548765643989e-05,0.00037019581699595887,9.77142821973266e-05,0.000787102627281227,0.12230915072784583
318.5,2.770512238265657,1.3855622630011019e-05,0.00037628438399150873,9.609070210605866e-05,0.0007953127652998087,0.1293131435975857
322.5,5.077842805721331,1.767869318212384e-05,0.00037954397803134947,0.00010654082732637728,0.0006574964085925257,0.12408361196583036
326.5,4.744908167257261,1.5549971415689868e-05,0.0005860018377852126,0.00013102752494192462,0.0015542453326213,0.1337391620554373
330.5,2.1902854728991503,1.8956773496734155e-05,0.0003051843651546562,0.00011089614859500391,0.0007228709820212429,0.13051863522625035
334.5,2.7132830815175697,2.722138537188155e-05,0.0005220334513397941,0.00021585834125476002,0.001241770872410539,0.16017247835462495
338.5,6.831335345464433,4.0986148933673144e-05,0.00019782456648404423,0.00015908085419956045,0.0010529418868929317,0.13821716975536041
342.5,1.675320762669016,2.1103056642335263e-05,0.00034675885494710927,0.00011558006594327149,0.00047761589894404363,0.13963835868800958
346.5,2.699560857581827,4.0501662648605865e-05,0.00038396180296845203,0.00014386806334391335,0.00129627115982162,0.1700700605934234
350.5,5.393163686582516,5.8217520764087284e-05,0.0002376903987118829,0.00021642115783005394,0.001579308980568122,0.2335001413947441
