Delta_t_ms,Kernel
-2.2800,7.2961106684715830e+01
-2.2400,7.3753879170259324e+01
-2.2000,7.4555265672809853e+01
-2.1600,7.5365359789572707e+01
-2.1200,7.6184256134750754e+01
-2.0800,7.7012050350595402e+01
-2.0400,7.7848839118576521e+01
-2.0000,7.8694720170674714e+01
-1.9600,7.9549792300795303e+01
-1.9200,8.0414155376307519e+01
-1.8800,8.1287910349707758e+01
-1.8400,8.2171159270410882e+01
-1.8000,8.3064005296668313e+01
-1.7600,8.3966552707617026e+01
-1.7200,8.4878906915458032e+01
-1.6800,8.5801174477768527e+01
-1.6400,8.6733463109946584e+01
-1.6000,8.7675881697792349e+01
-1.5600,8.8628540310224494e+01
-1.5200,8.9591550212136355e+01
-1.4800,9.0565023877390601e+01
-1.4400,9.1549075001955373e+01
-1.4000,9.2543818517183837e+01
-1.3600,9.3549370603236881e+01
-1.3200,9.4565848702652829e+01
-1.2800,9.5593371534063465e+01
-1.2400,9.6632059106060296e+01
-1.2000,9.7682032731210171e+01
-1.1600,9.8743415040224548e+01
-1.1200,9.9816329996281397e+01
-1.0800,1.0090090290950403e+02
-1.0400,1.0199726045159578e+02
-1.0000,1.0310553067063545e+02
-0.9600,1.0422584300603158e+02
-0.9200,1.0535832830364116e+02
-0.8800,1.0650311883105078e+02
-0.8400,1.0766034829302538e+02
-0.8000,1.0883015184712399e+02
-0.7600,1.1001266611948486e+02
-0.7200,1.1120802922078344e+02
-0.6800,1.1241638076236198e+02
-0.6400,1.1363786187253625e+02
-0.6000,1.1487261521307749e+02
-0.5600,1.1612078499587545e+02
-0.5200,1.1738251699978056e+02
-0.4800,1.1865795858763096e+02
-0.4400,1.1994725872346264e+02
-0.4000,1.2125056798990852e+02
-0.3600,1.2256803860578469e+02
-0.3200,1.2389982444386962e+02
-0.2800,1.2524608104887456e+02
-0.2400,1.2660696565561130e+02
-0.2000,1.2798263720735525e+02
-0.1600,1.2937325637440992e+02
-0.1200,1.3077898557287190e+02
-0.0800,1.3219998898359981e+02
-0.0400,1.3363643257139032e+02
0.0000,1.3508848410436110e+02
0.0400,1.3363643257139020e+02
0.0800,1.3219998898359981e+02
0.1200,1.3077898557287179e+02
0.1600,1.2937325637440992e+02
0.2000,1.2798263720735513e+02
0.2400,1.2660696565561118e+02
0.2800,1.2524608104887444e+02
0.3200,1.2389982444386949e+02
0.3600,1.2256803860578458e+02
0.4000,1.2125056798990840e+02
0.4400,1.1994725872346253e+02
0.4800,1.1865795858763086e+02
0.5200,1.1738251699978056e+02
0.5600,1.1612078499587534e+02
0.6000,1.1487261521307749e+02
0.6400,1.1363786187253615e+02
0.6800,1.1241638076236198e+02
0.7200,1.1120802922078333e+02
0.7600,1.1001266611948486e+02
0.8000,1.0883015184712389e+02
0.8400,1.0766034829302538e+02
0.8800,1.0650311883105067e+02
0.9200,1.0535832830364104e+02
0.9600,1.0422584300603147e+02
1.0000,1.0310553067063536e+02
1.0400,1.0199726045159569e+02
1.0800,1.0090090290950393e+02
1.1200,9.9816329996281311e+01
1.1600,9.8743415040224463e+01
1.2000,9.7682032731210171e+01
1.2400,9.6632059106060197e+01
1.2800,9.5593371534063465e+01
1.3200,9.4565848702652744e+01
1.3600,9.3549370603236881e+01
1.4000,9.2543818517183752e+01
1.4400,9.1549075001955373e+01
1.4800,9.0565023877390502e+01
1.5200,8.9591550212136355e+01
1.5600,8.8628540310224423e+01
1.6000,8.7675881697792249e+01
1.6400,8.6733463109946499e+01
1.6800,8.5801174477768456e+01
1.7200,8.4878906915457947e+01
1.7600,8.3966552707616955e+01
1.8000,8.3064005296668242e+01
1.8400,8.2171159270410797e+01
1.8800,8.1287910349707758e+01
1.9200,8.0414155376307434e+01
1.9600,7.9549792300795303e+01
2.0000,7.8694720170674643e+01
2.0400,7.7848839118576521e+01
2.0800,7.7012050350595345e+01
2.1200,7.6184256134750754e+01
2.1600,7.5365359789572636e+01
2.2000,7.4555265672809853e+01
2.2400,7.3753879170259268e+01
2.2800,7.2961106684715759e+01
2.3200,7.2176855625040290e+01
2.3600,7.1401034395346244e+01
2.4000,7.0633552384300984e+01
2.4400,6.9874319954543594e+01
2.4800,6.9123248432215235e+01
2.5200,6.8380250096603007e+01
2.5600,6.7645238169894341e+01
2.6000,6.6918126807042029e+01
2.6400,6.6198831085738107e+01
2.6800,6.5487266996495165e+01
2.7200,6.4783351432834948e+01
2.7600,6.4087002181581440e+01
2.8000,6.3398137913259525e+01
2.8400,6.2716678172595529e+01
2.8800,6.2042543369121098e+01
2.9200,6.1375654767876973e+01
2.9600,6.0715934480217719e+01
3.0000,6.0063305454714317e+01
3.0400,5.9417691468155454e+01
3.0800,5.8779017116644667e+01
3.1200,5.8147207806794064e+01
3.1600,5.7522189747011808e+01
3.2000,5.6903889938884141e+01
3.2400,5.6292236168649183e+01
3.2800,5.5687156998763015e+01
3.3200,5.5088581759556313e+01
3.3600,5.4496440540980196e+01
3.4000,5.3910664184441544e+01
3.4400,5.3331184274725310e+01
3.4800,5.2757933132004389e+01
